Date,BRENT
,BZ=F
5/24/2012,106.5500031
5/25/2012,106.8300018
5/29/2012,106.6800003
5/30/2012,103.4700012
5/31/2012,101.8700027
6/1/2012,98.43000031
6/4/2012,98.84999847
6/5/2012,98.83999634
6/6/2012,100.6399994
6/7/2012,99.93000031
6/8/2012,99.47000122
6/11/2012,98
6/12/2012,97.13999939
6/13/2012,97.12999725
6/14/2012,97.02999878
6/15/2012,97.61000061
6/18/2012,96.05000305
6/19/2012,95.76000214
6/20/2012,92.69000244
6/21/2012,89.23000336
6/22/2012,90.98000336
6/25/2012,91.01000214
6/26/2012,93.01999664
6/27/2012,93.5
6/28/2012,91.36000061
6/29/2012,97.80000305
7/2/2012,97.33999634
7/3/2012,100.6800003
7/5/2012,100.6999969
7/6/2012,98.19000244
7/9/2012,100.3199997
7/10/2012,97.97000122
7/11/2012,100.2300034
7/12/2012,101.0699997
7/13/2012,102.4000015
7/16/2012,103.5500031
7/17/2012,104
7/18/2012,105.1600037
7/19/2012,107.8000031
7/20/2012,106.8300018
7/23/2012,103.2600021
7/24/2012,103.4199982
7/25/2012,104.3799973
7/26/2012,105.2600021
7/27/2012,106.4700012
7/30/2012,106.1999969
7/31/2012,104.9199982
8/1/2012,105.9599991
8/2/2012,105.9000015
8/3/2012,108.9400024
8/6/2012,109.5500031
8/7/2012,112
8/8/2012,112.1399994
8/9/2012,113.2200012
8/10/2012,112.9499969
8/13/2012,113.5999985
8/14/2012,114.0299988
8/15/2012,116.25
8/16/2012,116.9000015
8/17/2012,113.7099991
8/20/2012,113.6999969
8/21/2012,114.6399994
8/22/2012,114.9100037
8/23/2012,115.0100021
8/24/2012,113.5899963
8/27/2012,112.2600021
8/28/2012,112.5800018
8/29/2012,112.5400009
8/30/2012,112.6500015
8/31/2012,114.5699997
9/4/2012,114.1800003
9/5/2012,113.0899963
9/6/2012,113.4899979
9/7/2012,114.25
9/10/2012,114.8099976
9/11/2012,115.4000015
9/12/2012,115.9599991
9/13/2012,116.9000015
9/18/2012,112.0299988
9/19/2012,108.1900024
9/20/2012,110.0299988
9/21/2012,111.4199982
9/24/2012,109.8099976
9/25/2012,110.4499969
9/26/2012,110.0400009
9/27/2012,112.0100021
9/28/2012,112.3899994
10/1/2012,112.1900024
10/2/2012,111.5699997
10/3/2012,108.1699982
10/4/2012,112.5800018
10/5/2012,112.0199966
10/8/2012,111.8199997
10/9/2012,114.5
10/10/2012,114.3300018
10/11/2012,115.7099991
10/12/2012,114.6200027
10/15/2012,115.8000031
10/16/2012,115.0699997
10/19/2012,110.1399994
