"Date","Price","Open","High","Low","Change %"
"06/01/2014","8.740","8.940","9.290","8.530","-2.67%"
"05/01/2014","8.980","9.230","9.520","8.800","-2.18%"
"04/01/2014","9.180","10.080","10.460","9.130","-8.38%"
"03/01/2014","10.020","10.300","11.170","10.010","-2.43%"
"02/01/2014","10.270","10.200","10.530","9.770","1.68%"
"01/01/2014","10.100","10.270","10.920","9.720","-1.66%"
"12/01/2013","10.270","9.160","10.820","9.160","12.00%"
"11/01/2013","9.170","8.750","9.300","8.650","4.80%"
"10/01/2013","8.750","8.910","9.020","8.190","-2.56%"
"09/01/2013","8.980","10.080","10.080","8.420","-10.47%"
"08/01/2013","10.030","9.120","10.850","8.650","9.74%"
"07/01/2013","9.140","8.720","9.500","8.130","6.78%"
"06/01/2013","8.560","7.100","9.490","6.740","26.44%"
"05/01/2013","6.770","6.160","6.880","5.880","9.72%"
"04/01/2013","6.170","7.090","7.210","6.160","-12.36%"
"03/01/2013","7.040","6.740","7.240","5.820","5.07%"
"02/01/2013","6.700","6.780","6.980","6.620","0.00%"
"01/01/2013","6.700","6.570","6.960","6.480","2.29%"
"12/01/2012","6.550","6.900","6.900","6.410","-4.66%"
"11/01/2012","6.870","7.890","7.990","6.870","-13.69%"
"10/01/2012","7.960","8.140","8.500","7.950","-1.85%"
"09/01/2012","8.110","8.220","8.480","7.920","-0.73%"
"08/01/2012","8.170","8.050","8.480","7.930","0.37%"
"07/01/2012","8.140","8.810","8.910","7.910","-7.18%"
"06/01/2012","8.770","9.310","9.390","8.660","-5.29%"
"05/01/2012","9.260","9.290","9.560","9.100","0.00%"
"04/01/2012","9.260","9.680","9.890","9.230","-3.94%"
"03/01/2012","9.640","9.510","9.940","9.490","1.58%"
"02/01/2012","9.490","9.810","9.890","9.410","-2.77%"
"01/01/2012","9.760","10.190","10.390","9.580","-2.40%"
"12/01/2011","10.000","10.010","10.200","9.580","0.70%"
"11/01/2011","9.930","9.830","10.770","9.570","1.95%"
"10/01/2011","9.740","9.690","10.390","9.390","1.35%"
"09/01/2011","9.610","8.930","10.020","8.810","7.13%"
"08/01/2011","8.970","9.710","9.850","8.880","-7.53%"
"07/01/2011","9.700","9.740","10.000","9.550","0.31%"
"06/01/2011","9.670","9.630","9.780","9.370","0.21%"
"05/01/2011","9.650","9.340","9.730","9.340","3.21%"
