"Date","Price","Open","High","Low","Change %"
"08/01/2014","7.745","7.745","7.745","7.745","-4.21%"
"07/01/2014","8.085","8.085","8.085","8.085","-1.04%"
"06/01/2014","8.170","8.170","8.170","8.170","-0.12%"
"05/01/2014","8.180","8.180","8.180","8.180","-1.74%"
"04/01/2014","8.325","8.325","8.325","8.325","0.18%"
"03/01/2014","8.310","8.310","8.310","8.310","-2.00%"
"02/01/2014","8.480","8.480","8.480","8.480","-3.53%"
"01/01/2014","8.790","8.790","8.790","8.790","11.13%"
"12/01/2013","7.910","7.910","7.910","7.910","-1.19%"
"11/01/2013","8.005","8.005","8.005","8.005","5.47%"
"10/01/2013","7.590","7.590","7.590","7.590","0.20%"
"09/01/2013","7.575","7.575","7.575","7.575","-7.45%"
"08/01/2013","8.185","8.185","8.185","8.185","4.33%"
"07/01/2013","7.845","7.845","7.845","7.845","3.50%"
"06/01/2013","7.580","7.580","7.580","7.580","5.57%"
"05/01/2013","7.180","7.180","7.180","7.180","19.47%"
"04/01/2013","6.010","6.010","6.010","6.010","-7.75%"
"03/01/2013","6.515","6.515","6.515","6.515","1.72%"
"02/01/2013","6.405","6.405","6.405","6.405","-1.84%"
"01/01/2013","6.525","6.525","6.525","6.525","2.19%"
"12/01/2012","6.385","6.385","6.385","6.385","-4.27%"
"11/01/2012","6.670","6.670","6.670","6.670","-0.45%"
"10/01/2012","6.700","6.700","6.700","6.700","2.45%"
"09/01/2012","6.540","6.540","6.540","6.540","-3.04%"
"08/01/2012","6.745","6.745","6.745","6.745","1.20%"
"07/01/2012","6.665","6.665","6.665","6.665","-7.81%"
"06/01/2012","7.230","7.230","7.230","7.230","-6.77%"
"05/01/2012","7.755","7.755","7.755","7.755","1.04%"
"04/01/2012","7.675","7.675","7.675","7.675","-2.54%"
"03/01/2012","7.875","7.875","7.875","7.875","0.38%"
"02/01/2012","7.845","7.845","7.845","7.845","1.42%"
"01/01/2012","7.735","7.735","7.735","7.735","-2.46%"
"12/01/2011","7.930","7.930","7.930","7.930","0.44%"
"11/01/2011","7.895","7.895","7.895","7.895","0.77%"
"10/01/2011","7.835","7.835","7.835","7.835","-5.26%"
"09/01/2011","8.270","8.270","8.270","8.270","5.48%"
"08/01/2011","7.840","7.840","7.840","7.840","-4.85%"
"07/01/2011","8.240","8.240","8.240","8.240","-1.90%"
"06/01/2011","8.400","8.400","8.400","8.400","1.33%"
"05/01/2011","8.290","8.290","8.290","8.290","-1.78%"
"04/01/2011","8.440","8.440","8.440","8.440","-2.88%"
"03/01/2011","8.690","8.690","8.690","8.690","0.35%"
"02/01/2011","8.660","8.660","8.660","8.660","0.29%"
"01/01/2011","8.635","8.635","8.635","8.635","6.15%"
"12/01/2010","8.135","8.135","8.135","8.135","-1.69%"
"11/01/2010","8.275","8.275","8.275","8.275","5.55%"
"10/01/2010","7.840","7.840","7.840","7.840","-1.38%"
"09/01/2010","7.950","7.950","7.950","7.950","0.32%"
"08/01/2010","7.925","7.925","7.925","7.925","-3.41%"
"07/01/2010","8.205","8.205","8.205","8.205","-6.55%"
"06/01/2010","8.780","8.780","8.780","8.780","0.98%"
"05/01/2010","8.695","8.695","8.695","8.695","2.66%"
